method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,32.0,0.9658203125,1.0,False,13,-0.031701863750499396,negligible
boruta,cif,16.5,0.041259765625,1.0,False,13,0.2860201141345354,small
boruta,cit,0.0,0.000244140625,0.022216796875,True,13,1.1954767747547899,large
boruta,cpi,1.0,0.001953125,0.099609375,False,13,0.7266661886094773,medium
boruta,et,15.0,0.232421875,1.0,False,13,-0.08460111434304023,negligible
boruta,lgbm,33.0,1.0,1.0,False,13,0.032178465392066424,negligible
boruta,pi,8.0,0.01220703125,0.4638671875,False,13,0.5288930321659387,medium
boruta,ptest_rdc,17.0,0.09228515625,1.0,False,13,0.18857302936887427,negligible
boruta,r_cforest,1.0,0.00048828125,0.0322265625,True,13,2.32474269784024,large
boruta,r_ctree,0.0,0.000244140625,0.022216796875,True,13,3.5348466773800786,large
boruta,rf,17.0,0.5703125,1.0,False,13,-0.032512349955819454,negligible
boruta,rfe,30.5,0.84765625,1.0,False,13,0.03184266319539368,negligible
boruta,xgb,7.0,0.004638671875,0.199462890625,False,13,0.675232421189452,medium
cat,cif,16.0,0.039794921875,1.0,False,13,0.32587833978732533,small
cat,cit,0.0,0.000244140625,0.022216796875,True,13,1.2906025361775963,large
cat,cpi,0.0,0.00048828125,0.0322265625,True,13,0.7862758542984905,medium
cat,et,30.0,0.8134765625,1.0,False,13,-0.0568369024378961,negligible
cat,lgbm,20.0,0.267578125,1.0,False,13,0.06838571562363634,negligible
cat,pi,0.0,0.00048828125,0.0322265625,True,13,0.5830734388462822,medium
cat,ptest_rdc,17.0,0.09228515625,1.0,False,13,0.2270754365151828,small
cat,r_cforest,0.0,0.000244140625,0.022216796875,True,13,2.523123989698445,large
cat,r_ctree,0.0,0.000244140625,0.022216796875,True,13,3.877488442230225,large
cat,rf,32.0,0.9658203125,1.0,False,13,-0.0032261891358771116,negligible
cat,rfe,33.0,1.0,1.0,False,13,0.06310525630823209,negligible
cat,xgb,3.0,0.001220703125,0.067138671875,False,13,0.7538638876403866,medium
cif,cit,1.0,0.00048828125,0.0322265625,True,13,0.7967728084437796,medium
cif,cpi,22.0,0.10986328125,1.0,False,13,0.4021186210979155,small
cif,et,3.0,0.001220703125,0.067138671875,False,13,-0.3614211089299488,small
cif,lgbm,22.0,0.10986328125,1.0,False,13,-0.2769196470223125,small
cif,pi,33.0,0.414306640625,1.0,False,13,0.20718402521602725,small
cif,ptest_rdc,22.0,0.10986328125,1.0,False,13,-0.10391637393981076,negligible
cif,r_cforest,0.0,0.000244140625,0.022216796875,True,13,1.7566728980613462,large
cif,r_ctree,0.0,0.000244140625,0.022216796875,True,13,2.763848388389143,large
cif,rf,5.0,0.00244140625,0.1220703125,False,13,-0.3080351298367835,small
cif,rfe,24.0,0.146484375,1.0,False,13,-0.2439647410491843,small
cif,xgb,24.0,0.146484375,1.0,False,13,0.2862197064375875,small
cit,cpi,12.0,0.01708984375,0.59814453125,False,13,-0.3710781063055548,small
cit,et,1.0,0.00048828125,0.0322265625,True,13,-1.2653195393358225,large
cit,lgbm,0.0,0.000244140625,0.022216796875,True,13,-1.2828184780229206,large
cit,pi,6.0,0.00341796875,0.15380859375,False,13,-0.6252503354055523,medium
cit,ptest_rdc,2.0,0.000732421875,0.04248046875,True,13,-0.9611119779092248,large
cit,r_cforest,7.0,0.004638671875,0.199462890625,False,13,1.1077369045983125,large
cit,r_ctree,0.0,0.000244140625,0.022216796875,True,13,2.4441856550701,large
cit,rf,1.0,0.00048828125,0.0322265625,True,13,-1.1828046385380184,large
cit,rfe,2.0,0.000732421875,0.04248046875,True,13,-1.0936243660051077,large
cit,xgb,9.0,0.008056640625,0.322265625,False,13,-0.7065279361433011,medium
cpi,et,1.5,0.00146484375,0.07763671875,False,13,-0.7984303497614491,medium
cpi,lgbm,0.0,0.00048828125,0.0322265625,True,13,-0.7531829988998356,medium
cpi,pi,8.0,0.0244140625,0.830078125,False,13,-0.2146112627791492,small
cpi,ptest_rdc,3.0,0.00244140625,0.1220703125,False,13,-0.5282059308098632,medium
cpi,r_cforest,5.0,0.00244140625,0.1220703125,False,13,1.3415603183623523,large
cpi,r_ctree,0.0,0.000244140625,0.022216796875,True,13,2.3994118848864976,large
cpi,rf,2.0,0.00146484375,0.07763671875,False,13,-0.7349214435582957,medium
cpi,rfe,9.0,0.01611328125,0.580078125,False,13,-0.662307631165035,medium
cpi,xgb,32.0,0.375732421875,1.0,False,13,-0.1996746725275063,negligible
et,lgbm,28.0,0.7001953125,1.0,False,13,0.12303615036643176,negligible
et,pi,5.0,0.00439453125,0.193359375,False,13,0.6055808355581014,medium
et,ptest_rdc,7.0,0.00927734375,0.36181640625,False,13,0.2686545169496051,small
et,r_cforest,0.0,0.000244140625,0.022216796875,True,13,2.3731063728818853,large
et,r_ctree,0.0,0.000244140625,0.022216796875,True,13,3.546147223666376,large
et,rf,15.5,0.2421875,1.0,False,13,0.049785124811861786,negligible
et,rfe,31.5,0.9169921875,1.0,False,13,0.11206797369156235,negligible
et,xgb,5.0,0.00244140625,0.1220703125,False,13,0.7600646590441816,medium
lgbm,pi,1.0,0.0009765625,0.0546875,False,13,0.5414884576724279,medium
lgbm,ptest_rdc,22.0,0.20361328125,1.0,False,13,0.17226645087379425,negligible
lgbm,r_cforest,0.0,0.000244140625,0.022216796875,True,13,2.613865441085236,large
lgbm,r_ctree,0.0,0.000244140625,0.022216796875,True,13,4.1284330279036725,large
lgbm,rf,28.0,0.7001953125,1.0,False,13,-0.06594518963245445,negligible
lgbm,rfe,28.0,0.68359375,1.0,False,13,0.0038406607407983637,negligible
lgbm,xgb,0.0,0.000244140625,0.022216796875,True,13,0.7196433308730492,medium
pi,ptest_rdc,15.0,0.06396484375,1.0,False,13,-0.3282979825015374,small
pi,r_cforest,0.0,0.000244140625,0.022216796875,True,13,1.6821189514680228,large
pi,r_ctree,0.0,0.000244140625,0.022216796875,True,13,2.8430790426192805,large
pi,rf,3.0,0.00244140625,0.1220703125,False,13,-0.5434560743576898,medium
pi,rfe,12.0,0.0341796875,1.0,False,13,-0.47133061006992927,small
pi,xgb,45.0,1.0,1.0,False,13,0.052937705892148086,negligible
ptest_rdc,r_cforest,0.0,0.000244140625,0.022216796875,True,13,2.017833912754002,large
ptest_rdc,r_ctree,0.0,0.000244140625,0.022216796875,True,13,3.1457054022979745,large
ptest_rdc,rf,16.0,0.0732421875,1.0,False,13,-0.21432084434111603,small
