method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,32.0,0.9658203125,1.0,False,13,-0.03217475950666802,negligible
boruta,cif,18.5,0.059326171875,1.0,False,13,0.244780094613873,small
boruta,cit,0.0,0.000244140625,0.022216796875,True,13,1.0753330651624635,large
boruta,cpi,1.0,0.001953125,0.099609375,False,13,0.6789731328672572,medium
boruta,et,15.5,0.2421875,1.0,False,13,-0.0806974100420793,negligible
boruta,lgbm,33.0,1.0,1.0,False,13,0.031119196711856333,negligible
boruta,pi,8.0,0.01220703125,0.4638671875,False,13,0.4892189534955553,small
boruta,ptest_rdc,17.0,0.09228515625,1.0,False,13,0.16955042836404374,negligible
boruta,r_cforest,1.0,0.00048828125,0.0322265625,True,13,2.0150036458621727,large
boruta,r_ctree,0.0,0.000244140625,0.022216796875,True,13,3.0778670811602846,large
boruta,rf,17.0,0.55078125,1.0,False,13,-0.037911557956739006,negligible
boruta,rfe,31.0,0.8984375,1.0,False,13,4.115997799581171e-16,negligible
boruta,xgb,7.0,0.004638671875,0.199462890625,False,13,0.5949234296776176,medium
cat,cif,16.0,0.039794921875,1.0,False,13,0.2822040636621329,small
cat,cit,0.0,0.000244140625,0.022216796875,True,13,1.1548980618006133,large
cat,cpi,0.0,0.00048828125,0.0322265625,True,13,0.7344264261686363,medium
cat,et,30.5,0.84765625,1.0,False,13,-0.05156350372486462,negligible
cat,lgbm,19.0,0.240234375,1.0,False,13,0.06678947771410894,negligible
cat,pi,0.0,0.00048828125,0.0322265625,True,13,0.5399843761506844,medium
cat,ptest_rdc,17.0,0.087890625,1.0,False,13,0.20675862803452297,small
cat,r_cforest,0.0,0.000244140625,0.022216796875,True,13,2.1597905503879047,large
cat,r_ctree,0.0,0.000244140625,0.022216796875,True,13,3.3154565057274317,large
cat,rf,32.0,0.9658203125,1.0,False,13,-0.007804214399148758,negligible
cat,rfe,32.0,0.9658203125,1.0,False,13,0.03048733167069304,negligible
cat,xgb,3.0,0.001220703125,0.06591796875,False,13,0.6597645593076833,medium
cif,cit,2.0,0.000732421875,0.043212890625,True,13,0.7390968230776369,medium
cif,cpi,21.0,0.09423828125,1.0,False,13,0.39413442356996725,small
cif,et,3.0,0.001220703125,0.06591796875,False,13,-0.3176648502807476,small
cif,lgbm,22.0,0.10986328125,1.0,False,13,-0.2305523096685314,small
cif,pi,33.0,0.414306640625,1.0,False,13,0.20781728427127102,small
cif,ptest_rdc,24.0,0.146484375,1.0,False,13,-0.08206451757740069,negligible
cif,r_cforest,0.0,0.000244140625,0.022216796875,True,13,1.5661338915792897,large
cif,r_ctree,0.0,0.000244140625,0.022216796875,True,13,2.4887589510117647,large
cif,rf,5.0,0.00244140625,0.1220703125,False,13,-0.27472332655774023,small
cif,rfe,24.0,0.146484375,1.0,False,13,-0.23369916995765155,small
cif,xgb,24.0,0.146484375,1.0,False,13,0.2722988951357019,small
cit,cpi,13.0,0.021484375,0.751953125,False,13,-0.3423381342496846,small
cit,et,1.0,0.00048828125,0.0322265625,True,13,-1.1408234316074017,large
cit,lgbm,0.0,0.000244140625,0.022216796875,True,13,-1.1369062984688632,large
cit,pi,3.0,0.00244140625,0.1220703125,False,13,-0.5865354704243456,medium
cit,ptest_rdc,2.0,0.000732421875,0.043212890625,True,13,-0.8774529176571257,large
cit,r_cforest,7.0,0.004638671875,0.199462890625,False,13,0.9945492338005734,large
cit,r_ctree,0.0,0.000244140625,0.022216796875,True,13,2.2837634262064155,large
cit,rf,1.0,0.00048828125,0.0322265625,True,13,-1.079815342731396,large
cit,rfe,2.0,0.000732421875,0.043212890625,True,13,-1.0089331870663056,large
cit,xgb,9.0,0.008056640625,0.322265625,False,13,-0.635803103610524,medium
cpi,et,1.5,0.00146484375,0.076171875,False,13,-0.7486061080722065,medium
cpi,lgbm,0.0,0.00048828125,0.0322265625,True,13,-0.6967805440889198,medium
cpi,pi,8.0,0.0244140625,0.830078125,False,13,-0.21116778588263185,small
cpi,ptest_rdc,3.0,0.00244140625,0.1220703125,False,13,-0.5010897201702649,medium
cpi,r_cforest,5.0,0.00244140625,0.1220703125,False,13,1.2320874933976032,large
cpi,r_ctree,0.0,0.000244140625,0.022216796875,True,13,2.2820821334012815,large
cpi,rf,1.0,0.0009765625,0.0546875,False,13,-0.6977860589964611,medium
cpi,rfe,9.0,0.01611328125,0.580078125,False,13,-0.643582195608398,medium
cpi,xgb,33.0,0.414306640625,1.0,False,13,-0.19346362020373958,negligible
et,lgbm,27.0,0.6376953125,1.0,False,13,0.11652215455255821,negligible
et,pi,5.0,0.00439453125,0.193359375,False,13,0.5639009936168486,medium
et,ptest_rdc,8.0,0.01171875,0.45703125,False,13,0.24674946463251038,small
et,r_cforest,0.0,0.000244140625,0.022216796875,True,13,2.0574395723015626,large
et,r_ctree,0.0,0.000244140625,0.022216796875,True,13,3.081550981817325,large
et,rf,16.5,0.287109375,1.0,False,13,0.04126127571268734,negligible
et,rfe,32.0,0.9423828125,1.0,False,13,0.07683388168601064,negligible
et,xgb,6.0,0.00341796875,0.15380859375,False,13,0.6744604622092726,medium
lgbm,pi,1.0,0.0009765625,0.0546875,False,13,0.49406124969648635,small
lgbm,ptest_rdc,25.0,0.30126953125,1.0,False,13,0.15021424024234287,negligible
lgbm,r_cforest,0.0,0.000244140625,0.022216796875,True,13,2.2126903891460454,large
lgbm,r_ctree,0.0,0.000244140625,0.022216796875,True,13,3.4848364636565665,large
lgbm,rf,28.0,0.7001953125,1.0,False,13,-0.07050156394572306,negligible
lgbm,rfe,27.0,0.6376953125,1.0,False,13,-0.029374310143292334,negligible
lgbm,xgb,0.0,0.000244140625,0.022216796875,True,13,0.6171259075061388,medium
pi,ptest_rdc,16.0,0.0771484375,1.0,False,13,-0.30841002778330556,small
pi,r_cforest,0.0,0.000244140625,0.022216796875,True,13,1.5465868606473034,large
pi,r_ctree,0.0,0.000244140625,0.022216796875,True,13,2.686928426528695,large
pi,rf,3.0,0.00244140625,0.1220703125,False,13,-0.5138378204145967,medium
pi,rfe,11.0,0.02685546875,0.88623046875,False,13,-0.46266103182571844,small
pi,xgb,43.0,0.892578125,1.0,False,13,0.0476464952815318,negligible
ptest_rdc,r_cforest,0.0,0.000244140625,0.022216796875,True,13,1.7844288799459753,large
ptest_rdc,r_ctree,0.0,0.000244140625,0.022216796875,True,13,2.813919070264607,large
ptest_rdc,rf,14.0,0.05029296875,1.0,False,13,-0.20256334053926836,small
ptest_rdc,rfe,21.0,0.17626953125,1.0,False,13,-0.16122760677357278,negligible
ptest_rdc,xgb,22.0,0.10986328125,1.0,False,13,0.39061846800826955,small
r_cforest,r_ctree,0.0,0.000244140625,0.022216796875,True,13,1.654816038186059,large
r_cforest,rf,0.0,0.000244140625,0.022216796875,True,13,-1.973755015076112,large
r_cforest,rfe,0.0,0.000244140625,0.022216796875,True,13,-1.8616703816472404,large
r_cforest,xgb,1.0,0.00048828125,0.0322265625,True,13,-1.8679936680692382,large
r_ctree,rf,0.0,0.000244140625,0.022216796875,True,13,-2.969426267375714,large
r_ctree,rfe,0.0,0.000244140625,0.022216796875,True,13,-2.8035916997900063,large
r_ctree,xgb,0.0,0.000244140625,0.022216796875,True,13,-3.5318005107222574,large
rf,rfe,28.5,0.71484375,1.0,False,13,0.036129449044255565,negligible
rf,xgb,8.0,0.006103515625,0.250244140625,False,13,0.6162910808540505,medium
rfe,xgb,11.0,0.013427734375,0.496826171875,False,13,0.5548780855651305,medium
