method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,32.0,0.94921875,1.0,False,13,-0.022876065737416938,negligible
boruta,cif,15.5,0.033935546875,1.0,False,13,0.31220356342957956,small
boruta,cit,0.0,0.000244140625,0.022216796875,True,13,1.1779150819676132,large
boruta,cpi,1.0,0.001953125,0.09765625,False,13,0.67540764992711,medium
boruta,et,14.5,0.203125,1.0,False,13,-0.07281592296872888,negligible
boruta,lgbm,32.0,0.9658203125,1.0,False,13,0.025677218222196655,negligible
boruta,pi,6.0,0.0068359375,0.2734375,False,13,0.4895867005722768,small
boruta,ptest_rdc,17.0,0.08837890625,1.0,False,13,0.1838949641875964,negligible
boruta,r_cforest,1.0,0.00048828125,0.0322265625,True,13,2.4626680516297896,large
boruta,r_ctree,0.0,0.000244140625,0.022216796875,True,13,3.624782122231237,large
boruta,rf,18.0,0.6328125,1.0,False,13,-0.015084257311530866,negligible
boruta,rfe,30.0,0.8310546875,1.0,False,13,0.08998462713676102,negligible
boruta,xgb,6.0,0.00341796875,0.150390625,False,13,0.6471765512313972,medium
cat,cif,16.0,0.039794921875,1.0,False,13,0.3466496044564554,small
cat,cit,0.0,0.000244140625,0.022216796875,True,13,1.26345996544051,large
cat,cpi,0.0,0.00048828125,0.0322265625,True,13,0.72221137973584,medium
cat,et,31.0,0.8984375,1.0,False,13,-0.053312357218786674,negligible
cat,lgbm,20.0,0.2783203125,1.0,False,13,0.05178177860884408,negligible
cat,pi,0.0,0.00048828125,0.0322265625,True,13,0.5306772647381294,medium
cat,ptest_rdc,16.0,0.0771484375,1.0,False,13,0.21370839953351217,small
cat,r_cforest,0.0,0.000244140625,0.022216796875,True,13,2.683302965083076,large
cat,r_ctree,0.0,0.000244140625,0.022216796875,True,13,3.9950159130584417,large
cat,rf,33.0,1.0,1.0,False,13,0.00640569086609782,negligible
cat,rfe,33.0,1.0,1.0,False,13,0.11697745149114767,negligible
cat,xgb,3.0,0.001220703125,0.06591796875,False,13,0.7129334890783868,medium
cif,cit,1.0,0.00048828125,0.0322265625,True,13,0.7850778676686186,medium
cif,cpi,21.0,0.09423828125,1.0,False,13,0.35760371232850247,small
cif,et,3.0,0.001220703125,0.06591796875,False,13,-0.3803402938866583,small
cif,lgbm,20.0,0.080322265625,1.0,False,13,-0.3087363843987406,small
cif,pi,36.0,0.541748046875,1.0,False,13,0.17259160070483023,negligible
cif,ptest_rdc,21.0,0.09423828125,1.0,False,13,-0.12717206365950162,negligible
cif,r_cforest,0.0,0.000244140625,0.022216796875,True,13,1.8932799323882001,large
