method,precision@10_mean,precision@10_ci_lo,precision@10_ci_hi,precision@10_formatted,recall@10_mean,recall@10_ci_lo,recall@10_ci_hi,recall@10_formatted,f1@10_mean,f1@10_ci_lo,f1@10_ci_hi,f1@10_formatted
boruta,0.6103076923076924,0.4789153846153846,0.7420076923076924,"0.610 [0.479, 0.742]",0.7389230769230769,0.5923,0.8706192307692308,"0.739 [0.592, 0.871]",0.6531794871794872,0.5262025641025642,0.7731807692307691,"0.653 [0.526, 0.773]"
cat,0.6183076923076923,0.48368846153846157,0.7418884615384616,"0.618 [0.484, 0.742]",0.7447692307692308,0.6080000000000001,0.8633884615384615,"0.745 [0.608, 0.863]",0.6604615384615384,0.5338935897435897,0.7677974358974355,"0.660 [0.534, 0.768]"
cif,0.544423076923077,0.3952971153846154,0.6876557692307691,"0.544 [0.395, 0.688]",0.6514230769230769,0.49394230769230774,0.7982749999999998,"0.651 [0.494, 0.798]",0.5800897435897436,0.4331769230769231,0.7202967948717948,"0.580 [0.433, 0.720]"
cit,0.3657307692307692,0.26091346153846157,0.4645778846153846,"0.366 [0.261, 0.465]",0.44365384615384607,0.31844326923076915,0.5638586538461539,"0.444 [0.318, 0.564]",0.39170512820512826,0.28802147435897435,0.4890891025641025,"0.392 [0.288, 0.489]"
cpi,0.4409230769230769,0.3129115384615385,0.5683192307692309,"0.441 [0.313, 0.568]",0.5436923076923076,0.37861153846153844,0.703853846153846,"0.544 [0.379, 0.704]",0.4751794871794871,0.3413320512820513,0.6043192307692308,"0.475 [0.341, 0.604]"
et,0.6313846153846154,0.4907538461538463,0.7656076923076919,"0.631 [0.491, 0.766]",0.7584615384615385,0.6095307692307693,0.8910846153846155,"0.758 [0.610, 0.891]",0.6737435897435897,0.5389512820512821,0.7983846153846152,"0.674 [0.539, 0.798]"
lgbm,0.6028461538461538,0.47792115384615386,0.7157153846153845,"0.603 [0.478, 0.716]",0.7325384615384617,0.6093557692307693,0.8469326923076922,"0.733 [0.609, 0.847]",0.6460769230769231,0.5348326923076923,0.7420814102564102,"0.646 [0.535, 0.742]"
pi,0.49092307692307696,0.3629153846153846,0.6073846153846153,"0.491 [0.363, 0.607]",0.6004615384615385,0.4352038461538462,0.74755,"0.600 [0.435, 0.748]",0.5274358974358975,0.3921525641025641,0.6449282051282051,"0.527 [0.392, 0.645]"
ptest_dc,0.6145,0.47547500000000004,0.7670374999999998,"0.615 [0.475, 0.767]",0.7385,0.5549999999999999,0.9005249999999999,"0.739 [0.555, 0.901]",0.6558333333333334,0.513325,0.7973416666666666,"0.656 [0.513, 0.797]"
ptest_mc,0.52,0.321,0.7335125,"0.520 [0.321, 0.734]",0.5975,0.387,0.799,"0.598 [0.387, 0.799]",0.5458333333333334,0.3468333333333334,0.7441499999999993,"0.546 [0.347, 0.744]"
ptest_pc,0.6100000000000001,0.47450000000000003,0.7645124999999999,"0.610 [0.475, 0.765]",0.729,0.5539625000000001,0.8850249999999998,"0.729 [0.554, 0.885]",0.6496666666666666,0.5139875,0.7905,"0.650 [0.514, 0.790]"
ptest_rdc,0.5666153846153846,0.4333500000000001,0.6997461538461535,"0.567 [0.433, 0.700]",0.6881538461538461,0.5353653846153847,0.832088461538461,"0.688 [0.535, 0.832]",0.6071282051282052,0.47372435897435905,0.7371910256410257,"0.607 [0.474, 0.737]"
r_cforest,0.20226923076923078,0.13683269230769235,0.2687423076923076,"0.202 [0.137, 0.269]",0.22465384615384612,0.15645865384615387,0.2905807692307692,"0.225 [0.156, 0.291]",0.20973076923076922,0.14458589743589745,0.2737416666666666,"0.210 [0.145, 0.274]"
r_ctree,0.04053846153846154,0.015378846153846165,0.07016538461538455,"0.041 [0.015, 0.070]",0.04115384615384616,0.016148076923076935,0.07084807692307692,"0.041 [0.016, 0.071]",0.04074358974358975,0.015435897435897442,0.07036794871794867,"0.041 [0.015, 0.070]"
rf,0.6203076923076923,0.47753076923076926,0.761546153846154,"0.620 [0.478, 0.762]",0.7430769230769231,0.5876846153846155,0.8821615384615386,"0.743 [0.588, 0.882]",0.6612307692307693,0.5205128205128206,0.7887307692307692,"0.661 [0.521, 0.789]"
rfe,0.6103076923076923,0.46272692307692315,0.7517115384615385,"0.610 [0.463, 0.752]",0.714923076923077,0.572146153846154,0.8533884615384616,"0.715 [0.572, 0.853]",0.6451794871794873,0.5051602564102565,0.7770320512820513,"0.645 [0.505, 0.777]"
xgb,0.4812923076923077,0.3877846153846155,0.568563076923077,"0.481 [0.388, 0.569]",0.5879384615384615,0.48712153846153855,0.6894169230769231,"0.588 [0.487, 0.689]",0.5168410256410257,0.4301225641025641,0.5938897435897436,"0.517 [0.430, 0.594]"
