task,dataset_type,method_base,method_id,n_rankings,n_datasets,mean_informative_share_over_standard_k,mean_signal_or_redundant_share_over_standard_k,mean_pure_noise_share_over_standard_k,mean_correlated_noise_share_over_standard_k,mean_missing_share_over_standard_k,mean_dataset_size_cap_share_over_standard_k,informative_share_k5,signal_or_redundant_share_k5,pure_noise_share_k5,correlated_noise_share_k5,informative_share_k100,signal_or_redundant_share_k100,pure_noise_share_k100,correlated_noise_share_k100,informative_share_delta_k100_minus_k5,signal_or_redundant_share_delta_k100_minus_k5,pure_noise_share_delta_k100_minus_k5,correlated_noise_share_delta_k100_minus_k5,mean_informative_share_rank,mean_pure_noise_share_rank
classification,bias,boruta,boruta__7f986516a1727870,125,1,0.5287999999999999,0.5287999999999999,0.4712,0.0,0.0,0.0,0.968,0.968,0.032,0.0,0.1,0.1,0.9,0.0,-0.868,-0.868,0.868,0.0,4.0,4.0
classification,bias,cat,cat__024a0842d4337711,125,1,0.52688,0.52688,0.47312,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,5.0,5.0
classification,bias,cif,cif__4ee6725d43ec8e5a,125,1,0.5176000000000001,0.5176000000000001,0.48240000000000005,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,7.0,7.0
classification,bias,cit,cit__bc8d0ddbb26c15b5,125,1,0.43248000000000003,0.43248000000000003,0.56752,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,14.0,14.0
classification,bias,cpi,cpi__6e89acc5e72da5a8,125,1,0.4656,0.4656,0.5344,0.0,0.0,0.0,0.9840000000000001,0.9840000000000001,0.016,0.0,0.1,0.1,0.9,0.0,-0.8840000000000001,-0.8840000000000001,0.884,0.0,13.0,13.0
classification,bias,et,et__f5580a1865f967c8,125,1,0.5336000000000001,0.5336000000000001,0.46640000000000004,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,3.0,3.0
classification,bias,lgbm,lgbm__71ba9ba402678146,125,1,0.5198400000000001,0.5198400000000001,0.48016000000000003,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,6.0,6.0
classification,bias,pi,pi__6e89acc5e72da5a8,125,1,0.47168,0.47168,0.52832,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,12.0,12.0
classification,bias,ptest_mc,ptest_mc__307d6fc3284c28e2,125,1,0.47744,0.47744,0.52256,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,10.0,10.0
classification,bias,ptest_rdc,ptest_rdc__307d6fc3284c28e2,125,1,0.47696,0.47696,0.52304,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,11.0,11.0
classification,bias,r_cforest,r_cforest__37be32340835a93b,125,1,0.50512,0.50512,0.49488,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,9.0,9.0
classification,bias,r_ctree,r_ctree__b6e09ceb0eb26367,125,1,0.07456,0.07456,0.92544,0.0,0.0,0.0,0.008,0.008,0.992,0.0,0.1,0.1,0.9,0.0,0.092,0.092,-0.09199999999999997,0.0,15.0,15.0
classification,bias,rf,rf__27caa3a0a3b84fd9,125,1,0.5367999999999999,0.5367999999999999,0.4632,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,2.0,2.0
classification,bias,rfe,rfe__99914b932bd37a50,125,1,0.5392,0.5392,0.4608,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,1.0,1.0
classification,bias,xgb,xgb__1c62fadfc5e2988f,125,1,0.5168,0.5168,0.48319999999999996,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,8.0,8.0
classification,confounder,boruta,boruta__7f986516a1727870,125,1,0.44495999999999997,0.44495999999999997,0.22032,0.33472,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.7,0.2,-0.9,-0.9,0.7,0.2,1.0,2.0
classification,confounder,cat,cat__024a0842d4337711,125,1,0.27552,0.27552,0.23448,0.49,0.0,0.0,0.384,0.384,0.0,0.616,0.1,0.1,0.7028,0.19720000000000001,-0.28400000000000003,-0.28400000000000003,0.7028,-0.41879999999999995,11.0,7.0
classification,confounder,cif,cif__4ee6725d43ec8e5a,125,1,0.27984000000000003,0.27984000000000003,0.22719999999999999,0.49295999999999995,0.0,0.0,0.43200000000000005,0.43200000000000005,0.0,0.568,0.1,0.1,0.7,0.2,-0.3320000000000001,-0.3320000000000001,0.7,-0.36799999999999994,9.0,4.0
classification,confounder,cit,cit__bc8d0ddbb26c15b5,125,1,0.3196,0.3196,0.24888,0.43151999999999996,0.0,0.0,0.632,0.632,0.008,0.36,0.0956,0.0956,0.7044,0.2,-0.5364,-0.5364,0.6964,-0.15999999999999998,5.0,10.0
classification,confounder,cpi,cpi__6e89acc5e72da5a8,125,1,0.12560000000000002,0.12560000000000002,0.54112,0.33328,0.0,0.0,0.18400000000000002,0.18400000000000002,0.31200000000000006,0.504,0.0808,0.0808,0.7536,0.1656,-0.10320000000000003,-0.10320000000000003,0.4416,-0.33840000000000003,14.0,14.0
classification,confounder,et,et__f5580a1865f967c8,125,1,0.2736,0.2736,0.22,0.5064000000000001,0.0,0.0,0.376,0.376,0.0,0.624,0.1,0.1,0.7,0.2,-0.276,-0.276,0.7,-0.424,12.0,1.0
classification,confounder,lgbm,lgbm__71ba9ba402678146,125,1,0.34288,0.34288,0.242,0.41512,0.0,0.0,0.5760000000000001,0.5760000000000001,0.0,0.424,0.1,0.1,0.7011999999999999,0.19880000000000003,-0.4760000000000001,-0.4760000000000001,0.7011999999999999,-0.22519999999999996,3.0,8.0
