task,method_base,method_id,n_rankings,n_datasets,mean_informative_share_over_standard_k,mean_signal_or_redundant_share_over_standard_k,mean_pure_noise_share_over_standard_k,mean_correlated_noise_share_over_standard_k,mean_missing_share_over_standard_k,mean_dataset_size_cap_share_over_standard_k,informative_share_k5,signal_or_redundant_share_k5,pure_noise_share_k5,correlated_noise_share_k5,informative_share_k100,signal_or_redundant_share_k100,pure_noise_share_k100,correlated_noise_share_k100,informative_share_delta_k100_minus_k5,signal_or_redundant_share_delta_k100_minus_k5,pure_noise_share_delta_k100_minus_k5,correlated_noise_share_delta_k100_minus_k5,mean_informative_share_rank,mean_pure_noise_share_rank
classification,boruta,boruta__7f986516a1727870,1000,8,0.38247000000000003,0.45600999999999997,0.50215,0.04184,0.0,0.0125,0.735,0.835,0.165,0.0,0.09655000000000001,0.14654999999999999,0.82845,0.025,-0.63845,-0.68845,0.66345,0.025,6.0,6.0
classification,cat,cat__024a0842d4337711,1000,8,0.3829,0.44244,0.49631000000000003,0.06125,0.0,0.0125,0.755,0.83,0.09300000000000001,0.077,0.09759999999999999,0.1476,0.8277500000000001,0.024650000000000002,-0.6574,-0.6823999999999999,0.7347500000000001,-0.052349999999999994,5.0,4.0
classification,cif,cif__4ee6725d43ec8e5a,1000,8,0.34434000000000003,0.40868,0.5297000000000001,0.061619999999999994,0.0,0.0125,0.639,0.721,0.20800000000000002,0.071,0.0964,0.1464,0.8286,0.025,-0.5426,-0.5746,0.6206,-0.04599999999999999,8.0,9.0
classification,cit,cit__bc8d0ddbb26c15b5,1000,8,0.26964,0.33304,0.61302,0.053939999999999995,0.0,0.0125,0.557,0.653,0.302,0.045,0.0968,0.14679999999999999,0.8281999999999999,0.025,-0.46020000000000005,-0.5062,0.5262,-0.019999999999999997,13.0,13.0
classification,cpi,cpi__6e89acc5e72da5a8,1000,8,0.2338,0.29272000000000004,0.66562,0.04166,0.0,0.0125,0.463,0.541,0.396,0.063,0.0922,0.1422,0.8371,0.0207,-0.3708,-0.39880000000000004,0.44109999999999994,-0.042300000000000004,14.0,14.0
classification,et,et__f5580a1865f967c8,1000,8,0.38303000000000004,0.45097000000000004,0.48573,0.06330000000000001,0.0,0.0125,0.71,0.809,0.113,0.078,0.09685,0.14685,0.8281499999999999,0.025,-0.61315,-0.66215,0.71515,-0.053,4.0,1.0
classification,lgbm,lgbm__71ba9ba402678146,1000,8,0.3839,0.44528,0.50283,0.05189,0.0,0.0125,0.77,0.848,0.099,0.053,0.09770000000000001,0.1477,0.82745,0.024850000000000004,-0.6723,-0.7002999999999999,0.72845,-0.028149999999999994,3.0,7.0
classification,pi,pi__6e89acc5e72da5a8,1000,8,0.28253,0.34261,0.6049500000000001,0.05244,0.0,0.0125,0.5680000000000001,0.643,0.281,0.076,0.09365,0.14365,0.83505,0.0213,-0.47435000000000005,-0.49935,0.5540499999999999,-0.0547,12.0,12.0
classification,ptest_mc,ptest_mc__307d6fc3284c28e2,1000,8,0.32378,0.39226,0.5498200000000001,0.05792,0.0,0.0125,0.607,0.7070000000000001,0.223,0.07,0.0959,0.1459,0.8304,0.023700000000000002,-0.5111,-0.5611,0.6074,-0.04630000000000001,10.0,10.0
classification,ptest_rdc,ptest_rdc__307d6fc3284c28e2,1000,8,0.34382999999999997,0.41208999999999996,0.52949,0.05842,0.0,0.0125,0.653,0.752,0.17900000000000002,0.069,0.09695000000000001,0.14695,0.8290500000000001,0.024,-0.55605,-0.60505,0.65005,-0.045000000000000005,9.0,8.0
classification,r_cforest,r_cforest__37be32340835a93b,1000,8,0.31819,0.38211,0.55708,0.06081,0.0,0.0125,0.58,0.662,0.263,0.075,0.09455,0.14455,0.8305,0.02495,-0.48544999999999994,-0.51745,0.5675,-0.05005,11.0,11.0
classification,r_ctree,r_ctree__b6e09ceb0eb26367,1000,8,0.06286,0.11936,0.8537100000000001,0.02693,0.0,0.0125,0.034,0.10700000000000001,0.85,0.043,0.0925,0.1425,0.84785,0.00965,0.058499999999999996,0.035499999999999976,-0.0021499999999999853,-0.03335,15.0,15.0
classification,rf,rf__27caa3a0a3b84fd9,1000,8,0.37691,0.44333,0.49471,0.06196,0.0,0.0125,0.698,0.789,0.138,0.073,0.09645000000000001,0.14645,0.82855,0.025,-0.6015499999999999,-0.6425500000000001,0.69055,-0.047999999999999994,7.0,3.0
classification,rfe,rfe__99914b932bd37a50,1000,8,0.39224000000000003,0.45554,0.48974,0.05472,0.0,0.0125,0.7340000000000001,0.809,0.146,0.045,0.0967,0.1467,0.8283,0.025,-0.6373000000000001,-0.6623000000000001,0.6823,-0.019999999999999997,1.0,2.0
