task,method_base,method_id,k,n_rankings,n_datasets,effective_k,returned_count,missing_count,dataset_size_cap_count,informative_count,redundant_count,signal_or_redundant_count,explicit_noise_count,background_null_count,pure_noise_count,correlated_noise_count,returned_share,missing_share,dataset_size_cap_share,informative_share,redundant_share,signal_or_redundant_share,explicit_noise_share,background_null_share,pure_noise_share,correlated_noise_share,informative_share_rank,signal_or_redundant_share_rank,pure_noise_share_rank,correlated_noise_share_rank,missing_share_rank
classification,et,et__f5580a1865f967c8,1,200,8,1.0,1.0,0.0,0.0,0.82,0.115,0.935,0.0,0.025,0.025,0.04,1.0,0.0,0.0,0.82,0.115,0.935,0.0,0.025,0.025,0.04,5.0,5.0,3.5,10.0,8.0
classification,rf,rf__27caa3a0a3b84fd9,1,200,8,1.0,1.0,0.0,0.0,0.79,0.09,0.88,0.0,0.07,0.07,0.05,1.0,0.0,0.0,0.79,0.09,0.88,0.0,0.07,0.07,0.05,7.0,7.0,6.0,12.0,8.0
classification,cit,cit__bc8d0ddbb26c15b5,1,200,8,1.0,1.0,0.0,0.0,0.68,0.125,0.805,0.0,0.16,0.16,0.035,1.0,0.0,0.0,0.68,0.125,0.805,0.0,0.16,0.16,0.035,10.0,10.0,10.0,8.5,8.0
classification,cif,cif__4ee6725d43ec8e5a,1,200,8,1.0,1.0,0.0,0.0,0.64,0.115,0.755,0.0,0.165,0.165,0.08,1.0,0.0,0.0,0.64,0.115,0.755,0.0,0.165,0.165,0.08,11.0,11.5,11.0,14.0,8.0
classification,et,et__f5580a1865f967c8,2,200,8,2.0,2.0,0.0,0.0,1.535,0.19,1.725,0.0,0.15,0.15,0.125,1.0,0.0,0.0,0.7675,0.095,0.8625,0.0,0.075,0.075,0.0625,3.0,6.0,4.0,9.0,8.0
classification,rf,rf__27caa3a0a3b84fd9,2,200,8,2.0,2.0,0.0,0.0,1.5,0.165,1.665,0.0,0.2,0.2,0.135,1.0,0.0,0.0,0.75,0.0825,0.8325,0.0,0.1,0.1,0.0675,8.0,7.0,6.0,11.5,8.0
classification,cif,cif__4ee6725d43ec8e5a,2,200,8,2.0,2.0,0.0,0.0,1.32,0.195,1.515,0.0,0.34,0.34,0.145,1.0,0.0,0.0,0.66,0.0975,0.7575,0.0,0.17,0.17,0.0725,10.5,11.0,10.0,14.0,8.0
classification,cit,cit__bc8d0ddbb26c15b5,2,200,8,2.0,2.0,0.0,0.0,1.32,0.235,1.555,0.0,0.365,0.365,0.08,1.0,0.0,0.0,0.66,0.1175,0.7775,0.0,0.1825,0.1825,0.04,10.5,10.0,11.0,5.0,8.0
classification,et,et__f5580a1865f967c8,5,200,8,5.0,5.0,0.0,0.0,3.55,0.495,4.045,0.0,0.565,0.565,0.39,1.0,0.0,0.0,0.71,0.099,0.809,0.0,0.113,0.113,0.078,6.0,5.5,4.0,15.0,8.0
classification,rf,rf__27caa3a0a3b84fd9,5,200,8,5.0,5.0,0.0,0.0,3.49,0.455,3.945,0.0,0.69,0.69,0.365,1.0,0.0,0.0,0.698,0.091,0.789,0.0,0.138,0.138,0.073,7.0,7.0,5.0,11.0,8.0
classification,cif,cif__4ee6725d43ec8e5a,5,200,8,5.0,5.0,0.0,0.0,3.195,0.41,3.605,0.0,1.04,1.04,0.355,1.0,0.0,0.0,0.639,0.08199999999999999,0.721,0.0,0.20800000000000002,0.20800000000000002,0.071,9.0,9.0,9.0,10.0,8.0
classification,cit,cit__bc8d0ddbb26c15b5,5,200,8,5.0,5.0,0.0,0.0,2.785,0.48,3.265,0.0,1.51,1.51,0.225,1.0,0.0,0.0,0.557,0.096,0.653,0.0,0.302,0.302,0.045,13.0,12.0,13.0,3.5,8.0
classification,et,et__f5580a1865f967c8,10,200,8,10.0,10.0,0.0,0.0,6.305,0.625,6.93,0.03,2.235,2.265,0.805,1.0,0.0,0.0,0.6305,0.0625,0.693,0.0030000000000000005,0.2235,0.22650000000000003,0.08049999999999999,2.0,3.0,2.0,14.0,8.0
classification,rf,rf__27caa3a0a3b84fd9,10,200,8,10.0,10.0,0.0,0.0,6.185,0.625,6.81,0.015,2.38,2.395,0.795,1.0,0.0,0.0,0.6185,0.0625,0.6809999999999999,0.0015000000000000002,0.23800000000000002,0.2395,0.07949999999999999,3.0,4.0,3.0,12.0,8.0
classification,cif,cif__4ee6725d43ec8e5a,10,200,8,10.0,10.0,0.0,0.0,5.435,0.635,6.07,0.065,3.06,3.125,0.805,1.0,0.0,0.0,0.5435,0.0635,0.607,0.006500000000000001,0.306,0.3125,0.08049999999999999,8.5,9.0,9.0,14.0,8.0
classification,cit,cit__bc8d0ddbb26c15b5,10,200,8,10.0,10.0,0.0,0.0,3.63,0.67,4.3,0.42,4.675,5.095,0.605,1.0,0.0,0.0,0.363,0.067,0.43,0.042,0.4675,0.5095000000000001,0.0605,13.0,13.0,13.0,6.0,8.0
classification,et,et__f5580a1865f967c8,20,200,8,20.0,20.0,0.0,0.0,7.45,1.505,8.955,0.905,8.49,9.395,1.65,1.0,0.0,0.0,0.3725,0.07525,0.44775,0.045250000000000005,0.42450000000000004,0.46975,0.0825,2.0,2.0,2.0,10.5,8.0
classification,rf,rf__27caa3a0a3b84fd9,20,200,8,20.0,20.0,0.0,0.0,7.305,1.495,8.8,0.68,8.88,9.56,1.64,1.0,0.0,0.0,0.36524999999999996,0.07475,0.44,0.034,0.444,0.478,0.08199999999999999,3.0,3.0,4.0,9.0,8.0
classification,cif,cif__4ee6725d43ec8e5a,20,200,8,20.0,20.0,0.0,0.0,6.77,1.51,8.28,0.775,9.29,10.065,1.655,1.0,0.0,0.0,0.3385,0.0755,0.414,0.03875,0.4645,0.50325,0.08275,8.0,8.0,7.0,12.0,8.0
classification,cit,cit__bc8d0ddbb26c15b5,20,200,8,20.0,20.0,0.0,0.0,4.755,1.1,5.855,1.67,10.635,12.305,1.84,1.0,0.0,0.0,0.23775,0.055,0.29275,0.08349999999999999,0.5317500000000001,0.61525,0.092,13.0,13.0,12.0,15.0,8.0
classification,et,et__f5580a1865f967c8,25,200,8,25.0,25.0,0.0,0.0,7.805,1.955,9.76,1.315,11.85,13.165,2.075,1.0,0.0,0.0,0.31220000000000003,0.0782,0.39039999999999997,0.0526,0.474,0.5266000000000001,0.083,1.0,2.0,1.0,11.5,8.0
classification,rf,rf__27caa3a0a3b84fd9,25,200,8,25.0,25.0,0.0,0.0,7.675,1.965,9.64,1.005,12.28,13.285,2.075,1.0,0.0,0.0,0.307,0.0786,0.3856,0.04020000000000001,0.49119999999999997,0.5314,0.083,4.0,4.0,4.0,11.5,8.0
classification,cif,cif__4ee6725d43ec8e5a,25,200,8,25.0,25.0,0.0,0.0,7.13,1.905,9.035,1.1,12.785,13.885,2.08,1.0,0.0,0.0,0.2852,0.0762,0.3614,0.044000000000000004,0.5114,0.5554,0.0832,8.0,5.0,5.0,13.0,8.0
classification,cit,cit__bc8d0ddbb26c15b5,25,200,8,25.0,25.0,0.0,0.0,4.905,1.35,6.255,2.295,14.13,16.425,2.32,1.0,0.0,0.0,0.1962,0.054000000000000006,0.2502,0.09179999999999999,0.5652,0.657,0.0928,13.0,13.0,12.0,15.0,8.0
classification,et,et__f5580a1865f967c8,50,200,8,50.0,50.0,0.0,0.0,8.28,2.5,10.78,3.11,33.61,36.72,2.5,1.0,0.0,0.0,0.16560000000000002,0.05,0.21559999999999999,0.0622,0.6722,0.7343999999999999,0.05,1.0,1.0,1.0,14.5,8.0
classification,rf,rf__27caa3a0a3b84fd9,50,200,8,50.0,50.0,0.0,0.0,8.23,2.5,10.73,2.73,34.075,36.805,2.465,1.0,0.0,0.0,0.1646,0.05,0.2146,0.0546,0.6815000000000001,0.7361,0.049300000000000004,6.0,6.0,4.0,13.0,8.0
classification,cif,cif__4ee6725d43ec8e5a,50,200,8,50.0,50.0,0.0,0.0,7.88,2.5,10.38,3.69,33.51,37.2,2.42,1.0,0.0,0.0,0.15760000000000002,0.05,0.2076,0.0738,0.6701999999999999,0.7440000000000001,0.0484,8.0,8.0,8.0,11.0,8.0
classification,cit,cit__bc8d0ddbb26c15b5,50,200,8,50.0,50.0,0.0,0.0,6.76,2.5,9.26,5.42,33.0,38.42,2.32,1.0,0.0,0.0,0.13520000000000001,0.05,0.1852,0.1084,0.66,0.7684000000000001,0.0464,13.0,13.0,12.0,9.0,8.0
classification,et,et__f5580a1865f967c8,100,200,8,93.75,93.75,0.0,6.25,8.435,2.5,10.935,6.25,74.065,80.315,2.5,1.0,0.0,0.0625,0.09685,0.05,0.14685,0.0625,0.7656499999999999,0.8281499999999999,0.025,5.0,5.0,4.0,12.5,8.0
classification,cit,cit__bc8d0ddbb26c15b5,100,200,8,93.75,93.75,0.0,6.25,8.43,2.5,10.93,6.25,74.07,80.32,2.5,1.0,0.0,0.0625,0.0968,0.05,0.14679999999999999,0.0625,0.7656999999999999,0.8281999999999999,0.025,6.0,6.0,5.0,12.5,8.0
classification,rf,rf__27caa3a0a3b84fd9,100,200,8,93.75,93.75,0.0,6.25,8.395,2.5,10.895,6.25,74.105,80.355,2.5,1.0,0.0,0.0625,0.09645000000000001,0.05,0.14645,0.0625,0.76605,0.82855,0.025,9.0,9.0,8.0,12.5,8.0
classification,cif,cif__4ee6725d43ec8e5a,100,200,8,93.75,93.75,0.0,6.25,8.39,2.5,10.89,6.25,74.11,80.36,2.5,1.0,0.0,0.0625,0.0964,0.05,0.1464,0.0625,0.7661,0.8286,0.025,10.0,10.0,9.0,12.5,8.0
regression,et,et__f09eb85fc7f75870,1,200,8,1.0,1.0,0.0,0.0,0.875,0.125,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.875,0.125,1.0,0.0,0.0,0.0,0.0,5.5,4.5,4.5,8.0,8.5
regression,rf,rf__aed17443e3db937d,1,200,8,1.0,1.0,0.0,0.0,0.875,0.125,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.875,0.125,1.0,0.0,0.0,0.0,0.0,5.5,4.5,4.5,8.0,8.5
regression,cif,cif__f996d20e25e412cc,1,200,8,1.0,1.0,0.0,0.0,0.81,0.125,0.935,0.0,0.065,0.065,0.0,1.0,0.0,0.0,0.81,0.125,0.935,0.0,0.065,0.065,0.0,13.0,12.0,12.0,8.0,8.5
regression,cit,cit__2cd925b5323e9208,1,200,8,1.0,1.0,0.0,0.0,0.75,0.125,0.875,0.0,0.125,0.125,0.0,1.0,0.0,0.0,0.75,0.125,0.875,0.0,0.125,0.125,0.0,14.0,14.0,14.0,8.0,8.5
regression,et,et__f09eb85fc7f75870,2,200,8,2.0,2.0,0.0,0.0,1.7,0.195,1.895,0.0,0.085,0.085,0.02,1.0,0.0,0.0,0.85,0.0975,0.9475,0.0,0.0425,0.0425,0.01,4.0,5.0,5.0,11.0,8.5
