task,method_base,method_id,k,n_rankings,n_datasets,effective_k,returned_count,missing_count,dataset_size_cap_count,informative_count,redundant_count,signal_or_redundant_count,explicit_noise_count,background_null_count,pure_noise_count,correlated_noise_count,returned_share,missing_share,dataset_size_cap_share,informative_share,redundant_share,signal_or_redundant_share,explicit_noise_share,background_null_share,pure_noise_share,correlated_noise_share,informative_share_rank,signal_or_redundant_share_rank,pure_noise_share_rank,correlated_noise_share_rank,missing_share_rank
classification,dt,dt__99914b932bd37a50,1,200,8,1.0,1.0,0.0,0.0,0.885,0.02,0.905,0.0,0.07,0.07,0.025,1.0,0.0,0.0,0.885,0.02,0.905,0.0,0.07,0.07,0.025,1.0,7.0,6.5,7.0,9.0
classification,lgbm,lgbm__71ba9ba402678146,1,200,8,1.0,1.0,0.0,0.0,0.86,0.125,0.985,0.0,0.015,0.015,0.0,1.0,0.0,0.0,0.86,0.125,0.985,0.0,0.015,0.015,0.0,2.0,1.0,2.0,2.5,9.0
classification,xgb,xgb__1c62fadfc5e2988f,1,200,8,1.0,1.0,0.0,0.0,0.85,0.11,0.96,0.0,0.025,0.025,0.015,1.0,0.0,0.0,0.85,0.11,0.96,0.0,0.025,0.025,0.015,3.0,4.0,3.5,6.0,9.0
classification,cat,cat__024a0842d4337711,1,200,8,1.0,1.0,0.0,0.0,0.845,0.125,0.97,0.0,0.03,0.03,0.0,1.0,0.0,0.0,0.845,0.125,0.97,0.0,0.03,0.03,0.0,4.0,2.0,5.0,2.5,9.0
classification,rfe,rfe__99914b932bd37a50,1,200,8,1.0,1.0,0.0,0.0,0.84,0.125,0.965,0.0,0.005,0.005,0.03,1.0,0.0,0.0,0.84,0.125,0.965,0.0,0.005,0.005,0.03,5.0,3.0,1.0,8.0,9.0
classification,et,et__f5580a1865f967c8,1,200,8,1.0,1.0,0.0,0.0,0.82,0.115,0.935,0.0,0.025,0.025,0.04,1.0,0.0,0.0,0.82,0.115,0.935,0.0,0.025,0.025,0.04,6.0,5.0,3.5,11.0,9.0
classification,ptest_rdc,ptest_rdc__307d6fc3284c28e2,1,200,8,1.0,1.0,0.0,0.0,0.8,0.11,0.91,0.0,0.085,0.085,0.005,1.0,0.0,0.0,0.8,0.11,0.91,0.0,0.085,0.085,0.005,7.0,6.0,8.0,5.0,9.0
classification,rf,rf__27caa3a0a3b84fd9,1,200,8,1.0,1.0,0.0,0.0,0.79,0.09,0.88,0.0,0.07,0.07,0.05,1.0,0.0,0.0,0.79,0.09,0.88,0.0,0.07,0.07,0.05,8.0,8.0,6.5,13.0,9.0
classification,ptest_mc,ptest_mc__307d6fc3284c28e2,1,200,8,1.0,1.0,0.0,0.0,0.75,0.125,0.875,0.0,0.125,0.125,0.0,1.0,0.0,0.0,0.75,0.125,0.875,0.0,0.125,0.125,0.0,9.0,9.0,9.0,2.5,9.0
classification,boruta,boruta__7f986516a1727870,1,200,8,1.0,1.0,0.0,0.0,0.735,0.125,0.86,0.0,0.14,0.14,0.0,1.0,0.0,0.0,0.735,0.125,0.86,0.0,0.14,0.14,0.0,10.0,10.0,10.0,2.5,9.0
classification,cit,cit__bc8d0ddbb26c15b5,1,200,8,1.0,1.0,0.0,0.0,0.68,0.125,0.805,0.0,0.16,0.16,0.035,1.0,0.0,0.0,0.68,0.125,0.805,0.0,0.16,0.16,0.035,11.0,11.0,11.0,9.5,9.0
classification,cif,cif__4ee6725d43ec8e5a,1,200,8,1.0,1.0,0.0,0.0,0.64,0.115,0.755,0.0,0.165,0.165,0.08,1.0,0.0,0.0,0.64,0.115,0.755,0.0,0.165,0.165,0.08,12.0,12.5,12.0,15.5,9.0
classification,pi,pi__6e89acc5e72da5a8,1,200,8,1.0,1.0,0.0,0.0,0.635,0.12,0.755,0.0,0.19,0.19,0.055,1.0,0.0,0.0,0.635,0.12,0.755,0.0,0.19,0.19,0.055,13.0,12.5,13.0,14.0,9.0
classification,r_cforest,r_cforest__37be32340835a93b,1,200,8,1.0,1.0,0.0,0.0,0.62,0.105,0.725,0.0,0.23,0.23,0.045,1.0,0.0,0.0,0.62,0.105,0.725,0.0,0.23,0.23,0.045,14.0,14.0,14.0,12.0,9.0
classification,rt,rt__99914b932bd37a50,1,200,8,1.0,1.0,0.0,0.0,0.59,0.095,0.685,0.0,0.235,0.235,0.08,1.0,0.0,0.0,0.59,0.095,0.685,0.0,0.235,0.235,0.08,15.0,15.0,15.0,15.5,9.0
classification,cpi,cpi__6e89acc5e72da5a8,1,200,8,1.0,1.0,0.0,0.0,0.475,0.11,0.585,0.0,0.315,0.315,0.1,1.0,0.0,0.0,0.475,0.11,0.585,0.0,0.315,0.315,0.1,16.0,16.0,16.0,17.0,9.0
classification,r_ctree,r_ctree__b6e09ceb0eb26367,1,200,8,1.0,1.0,0.0,0.0,0.035,0.12,0.155,0.0,0.81,0.81,0.035,1.0,0.0,0.0,0.035,0.12,0.155,0.0,0.81,0.81,0.035,17.0,17.0,17.0,9.5,9.0
classification,xgb,xgb__1c62fadfc5e2988f,2,200,8,2.0,2.0,0.0,0.0,1.64,0.195,1.835,0.0,0.085,0.085,0.08,1.0,0.0,0.0,0.82,0.0975,0.9175,0.0,0.0425,0.0425,0.04,1.0,2.0,2.0,6.0,9.0
classification,lgbm,lgbm__71ba9ba402678146,2,200,8,2.0,2.0,0.0,0.0,1.61,0.23,1.84,0.0,0.08,0.08,0.08,1.0,0.0,0.0,0.805,0.115,0.92,0.0,0.04,0.04,0.04,2.0,1.0,1.0,6.0,9.0
classification,dt,dt__99914b932bd37a50,2,200,8,2.0,2.0,0.0,0.0,1.6,0.145,1.745,0.0,0.18,0.18,0.075,1.0,0.0,0.0,0.8,0.0725,0.8725,0.0,0.09,0.09,0.0375,3.0,5.0,5.0,4.0,9.0
classification,et,et__f5580a1865f967c8,2,200,8,2.0,2.0,0.0,0.0,1.535,0.19,1.725,0.0,0.15,0.15,0.125,1.0,0.0,0.0,0.7675,0.095,0.8625,0.0,0.075,0.075,0.0625,4.0,7.0,4.0,10.0,9.0
classification,cat,cat__024a0842d4337711,2,200,8,2.0,2.0,0.0,0.0,1.53,0.25,1.78,0.0,0.105,0.105,0.115,1.0,0.0,0.0,0.765,0.125,0.89,0.0,0.0525,0.0525,0.0575,5.0,3.0,3.0,8.0,9.0
classification,rfe,rfe__99914b932bd37a50,2,200,8,2.0,2.0,0.0,0.0,1.525,0.25,1.775,0.0,0.185,0.185,0.04,1.0,0.0,0.0,0.7625,0.125,0.8875,0.0,0.0925,0.0925,0.02,6.0,4.0,6.0,2.0,9.0
classification,ptest_rdc,ptest_rdc__307d6fc3284c28e2,2,200,8,2.0,2.0,0.0,0.0,1.52,0.125,1.645,0.0,0.23,0.23,0.125,1.0,0.0,0.0,0.76,0.0625,0.8225,0.0,0.115,0.115,0.0625,7.0,9.0,8.0,10.0,9.0
