task,method_base,method_id,selection_score,config_selection_metric
classification,boruta,boruta__7f986516a1727870,0.38247,mean_precision_over_k_5_10_25_50_100
classification,cat,cat__024a0842d4337711,0.3829000000000001,mean_precision_over_k_5_10_25_50_100
classification,cif,cif__4ee6725d43ec8e5a,0.34434000000000003,mean_precision_over_k_5_10_25_50_100
classification,cit,cit__bc8d0ddbb26c15b5,0.26964000000000005,mean_precision_over_k_5_10_25_50_100
classification,cpi,cpi__6e89acc5e72da5a8,0.23392000000000002,mean_precision_over_k_5_10_25_50_100
classification,et,et__f5580a1865f967c8,0.38303000000000004,mean_precision_over_k_5_10_25_50_100
classification,lgbm,lgbm__71ba9ba402678146,0.3839,mean_precision_over_k_5_10_25_50_100
classification,pi,pi__6e89acc5e72da5a8,0.28321,mean_precision_over_k_5_10_25_50_100
classification,ptest_mc,ptest_mc__307d6fc3284c28e2,0.32378,mean_precision_over_k_5_10_25_50_100
classification,ptest_rdc,ptest_rdc__307d6fc3284c28e2,0.34383,mean_precision_over_k_5_10_25_50_100
classification,r_cforest,r_cforest__37be32340835a93b,0.31819000000000003,mean_precision_over_k_5_10_25_50_100
classification,r_ctree,r_ctree__b6e09ceb0eb26367,0.06286,mean_precision_over_k_5_10_25_50_100
classification,rf,rf__27caa3a0a3b84fd9,0.37691,mean_precision_over_k_5_10_25_50_100
classification,rfe,rfe__99914b932bd37a50,0.39224000000000003,mean_precision_over_k_5_10_25_50_100
classification,xgb,xgb__1c62fadfc5e2988f,0.38793,mean_precision_over_k_5_10_25_50_100
regression,boruta,boruta__7f986516a1727870,0.3971,mean_precision_over_k_5_10_25_50_100
regression,cat,cat__024a0842d4337711,0.40590000000000004,mean_precision_over_k_5_10_25_50_100
regression,cif,cif__f996d20e25e412cc,0.39014000000000004,mean_precision_over_k_5_10_25_50_100
regression,cit,cit__2cd925b5323e9208,0.31325000000000003,mean_precision_over_k_5_10_25_50_100
regression,cpi,cpi__6e89acc5e72da5a8,0.35194000000000003,mean_precision_over_k_5_10_25_50_100
regression,et,et__f09eb85fc7f75870,0.41088,mean_precision_over_k_5_10_25_50_100
regression,lgbm,lgbm__71ba9ba402678146,0.41188,mean_precision_over_k_5_10_25_50_100
regression,pi,pi__6e89acc5e72da5a8,0.37879000000000007,mean_precision_over_k_5_10_25_50_100
regression,ptest_dc,ptest_dc__307d6fc3284c28e2,0.39574000000000004,mean_precision_over_k_5_10_25_50_100
regression,ptest_pc,ptest_pc__307d6fc3284c28e2,0.39239,mean_precision_over_k_5_10_25_50_100
regression,ptest_rdc,ptest_rdc__307d6fc3284c28e2,0.39169000000000004,mean_precision_over_k_5_10_25_50_100
regression,r_cforest,r_cforest__37be32340835a93b,0.34090000000000004,mean_precision_over_k_5_10_25_50_100
regression,r_ctree,r_ctree__b6e09ceb0eb26367,0.08753999999999999,mean_precision_over_k_5_10_25_50_100
regression,rf,rf__aed17443e3db937d,0.40637999999999996,mean_precision_over_k_5_10_25_50_100
regression,rfe,rfe__99914b932bd37a50,0.34094,mean_precision_over_k_5_10_25_50_100
regression,xgb,xgb__1c62fadfc5e2988f,0.39489,mean_precision_over_k_5_10_25_50_100
