task,dataset_type,method_base,method_id,top1_hit_rate,any_hit_at_2_rate,precision@1,precision@2,precision@5,precision@10,mean_reciprocal_rank_true,mean_first_true_rank
classification,bias,boruta,boruta__7f986516a1727870,1.0,1.0,1.0,0.92,0.968,0.976,1.0,1.0
classification,bias,cat,cat__024a0842d4337711,1.0,1.0,1.0,1.0,1.0,0.9359999999999999,1.0,1.0
classification,bias,cif,cif__4ee6725d43ec8e5a,1.0,1.0,1.0,1.0,1.0,0.8960000000000001,1.0,1.0
classification,bias,cit,cit__bc8d0ddbb26c15b5,1.0,1.0,1.0,1.0,1.0,0.6639999999999999,1.0,1.0
classification,bias,cpi,cpi__6e89acc5e72da5a8,1.0,1.0,1.0,1.0,0.9840000000000001,0.7440000000000001,1.0,1.0
classification,bias,et,et__f5580a1865f967c8,1.0,1.0,1.0,1.0,1.0,0.968,1.0,1.0
classification,bias,lgbm,lgbm__71ba9ba402678146,1.0,1.0,1.0,1.0,1.0,0.9079999999999999,1.0,1.0
classification,bias,pi,pi__6e89acc5e72da5a8,1.0,1.0,1.0,1.0,1.0,0.7440000000000001,1.0,1.0
classification,bias,ptest_mc,ptest_mc__307d6fc3284c28e2,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0
classification,bias,ptest_rdc,ptest_rdc__307d6fc3284c28e2,1.0,1.0,1.0,1.0,1.0,0.764,1.0,1.0
classification,bias,r_cforest,r_cforest__37be32340835a93b,1.0,1.0,1.0,1.0,1.0,0.8440000000000001,1.0,1.0
classification,bias,rf,rf__27caa3a0a3b84fd9,1.0,1.0,1.0,1.0,1.0,0.9840000000000001,1.0,1.0
classification,bias,rfe,rfe__99914b932bd37a50,1.0,1.0,1.0,1.0,1.0,0.996,1.0,1.0
classification,bias,xgb,xgb__1c62fadfc5e2988f,1.0,1.0,1.0,1.0,1.0,0.892,1.0,1.0
classification,bias,r_ctree,r_ctree__b6e09ceb0eb26367,0.0,0.0,0.0,0.0,0.008,0.04800000000000001,0.08644206240757965,14.8
classification,confounder,boruta,boruta__7f986516a1727870,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0
classification,confounder,cat,cat__024a0842d4337711,1.0,1.0,1.0,0.54,0.384,0.37200000000000005,1.0,1.0
classification,confounder,lgbm,lgbm__71ba9ba402678146,1.0,1.0,1.0,0.68,0.5760000000000001,0.536,1.0,1.0
classification,confounder,ptest_mc,ptest_mc__307d6fc3284c28e2,1.0,1.0,1.0,0.5,0.44,0.4,1.0,1.0
classification,confounder,ptest_rdc,ptest_rdc__307d6fc3284c28e2,0.96,1.0,0.96,0.5,0.44800000000000006,0.35600000000000004,0.98,1.04
classification,confounder,xgb,xgb__1c62fadfc5e2988f,0.88,1.0,0.88,0.68,0.608,0.5479999999999999,0.94,1.12
classification,confounder,rfe,rfe__99914b932bd37a50,0.76,0.96,0.76,0.84,0.64,0.408,0.8733333333333333,1.28
classification,confounder,et,et__f5580a1865f967c8,0.68,1.0,0.68,0.5,0.376,0.35600000000000004,0.84,1.32
classification,confounder,cit,cit__bc8d0ddbb26c15b5,0.68,0.88,0.68,0.66,0.632,0.508,0.8166666666666668,1.48
classification,confounder,r_cforest,r_cforest__37be32340835a93b,0.64,0.88,0.64,0.44,0.4,0.384,0.8,1.48
classification,confounder,rf,rf__27caa3a0a3b84fd9,0.6,0.92,0.6,0.46,0.41600000000000004,0.364,0.7866666666666667,1.48
classification,confounder,pi,pi__6e89acc5e72da5a8,0.6,0.92,0.6,0.46,0.376,0.32,0.7813333333333334,1.56
classification,confounder,cif,cif__4ee6725d43ec8e5a,0.36,0.84,0.36,0.42,0.43200000000000005,0.35600000000000004,0.6446666666666667,1.92
classification,confounder,cpi,cpi__6e89acc5e72da5a8,0.08,0.32,0.08,0.18,0.20800000000000002,0.14800000000000002,0.32599315728220396,6.36
classification,confounder,r_ctree,r_ctree__b6e09ceb0eb26367,0.0,0.0,0.0,0.0,0.0,0.024000000000000004,0.06893821422094666,19.8
classification,nonlinear,cat,cat__024a0842d4337711,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
classification,nonlinear,cif,cif__4ee6725d43ec8e5a,1.0,1.0,1.0,1.0,0.9440000000000001,0.49200000000000005,1.0,1.0
classification,nonlinear,cit,cit__bc8d0ddbb26c15b5,1.0,1.0,1.0,1.0,0.728,0.364,1.0,1.0
classification,nonlinear,cpi,cpi__6e89acc5e72da5a8,1.0,1.0,1.0,1.0,0.8560000000000001,0.456,1.0,1.0
classification,nonlinear,et,et__f5580a1865f967c8,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
classification,nonlinear,lgbm,lgbm__71ba9ba402678146,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
classification,nonlinear,pi,pi__6e89acc5e72da5a8,1.0,1.0,1.0,1.0,0.8640000000000001,0.452,1.0,1.0
classification,nonlinear,ptest_mc,ptest_mc__307d6fc3284c28e2,1.0,1.0,1.0,1.0,0.8,0.43200000000000005,1.0,1.0
classification,nonlinear,ptest_rdc,ptest_rdc__307d6fc3284c28e2,1.0,1.0,1.0,1.0,0.9279999999999999,0.48,1.0,1.0
classification,nonlinear,r_cforest,r_cforest__37be32340835a93b,1.0,1.0,1.0,1.0,0.7440000000000001,0.40800000000000003,1.0,1.0
classification,nonlinear,rf,rf__27caa3a0a3b84fd9,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
classification,nonlinear,rfe,rfe__99914b932bd37a50,1.0,1.0,1.0,0.8,0.8,0.5,1.0,1.0
classification,nonlinear,xgb,xgb__1c62fadfc5e2988f,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
classification,nonlinear,boruta,boruta__7f986516a1727870,0.72,1.0,0.72,0.82,0.912,0.5,0.86,1.28
classification,nonlinear,r_ctree,r_ctree__b6e09ceb0eb26367,0.0,0.0,0.0,0.0,0.0,0.004,0.048284483220168116,32.6
classification,redundant,rf,rf__27caa3a0a3b84fd9,0.28,0.68,0.28,0.34,0.272,0.5,0.5866666666666667,2.04
classification,redundant,cpi,cpi__6e89acc5e72da5a8,0.2,0.44,0.2,0.22,0.28,0.3,0.45299999999999996,3.2
classification,redundant,r_cforest,r_cforest__37be32340835a93b,0.16,0.44,0.16,0.22,0.344,0.488,0.4766666666666666,2.52
classification,redundant,ptest_rdc,ptest_rdc__307d6fc3284c28e2,0.12,1.0,0.12,0.5,0.20800000000000002,0.444,0.56,1.88
classification,redundant,xgb,xgb__1c62fadfc5e2988f,0.12,0.44,0.12,0.22,0.38400000000000006,0.5,0.4346666666666667,2.84
classification,redundant,et,et__f5580a1865f967c8,0.08,0.48,0.08,0.24,0.20800000000000002,0.5,0.45,2.48
classification,redundant,cif,cif__4ee6725d43ec8e5a,0.08,0.44,0.08,0.22,0.344,0.49200000000000005,0.44,2.56
