task,method_base,method_id,n_rankings,n_datasets,mean_precision_over_head_k_1_2,mean_recall_over_head_k_1_2,mean_f1_over_head_k_1_2,top1_hit_rate,any_hit_at_2_rate,mean_reciprocal_rank_true,mean_first_true_rank,curve_rank_position,top1_rank_position,mrr_rank_position
classification,xgb,xgb__1c62fadfc5e2988f,200,8,0.835,0.15700000000000003,0.25636363636363635,0.85,0.925,0.9080833333333334,1.28,1.0,2.0,1.0
classification,lgbm,lgbm__71ba9ba402678146,200,8,0.8325,0.15625000000000003,0.25515151515151513,0.86,0.895,0.9059999999999999,1.325,2.0,1.0,2.0
classification,cat,cat__024a0842d4337711,200,8,0.805,0.14950000000000002,0.24449675324675327,0.845,0.87,0.8908333333333333,1.405,3.0,3.0,6.0
classification,rfe,rfe__99914b932bd37a50,200,8,0.80125,0.14825000000000002,0.24313852813852815,0.84,0.865,0.8965476190476189,1.315,4.0,4.0,3.0
classification,et,et__f5580a1865f967c8,200,8,0.79375,0.14750000000000002,0.2415313852813853,0.82,0.92,0.895,1.285,5.0,5.0,4.0
classification,ptest_rdc,ptest_rdc__307d6fc3284c28e2,200,8,0.78,0.14425000000000002,0.2361904761904762,0.8,0.965,0.8918055555555555,1.285,6.0,6.0,5.0
classification,rf,rf__27caa3a0a3b84fd9,200,8,0.77,0.1405,0.23077380952380952,0.79,0.91,0.8743958719851577,1.625,7.0,7.0,7.0
classification,boruta,boruta__7f986516a1727870,200,8,0.74375,0.1345,0.2213744588744589,0.735,0.86,0.8329166666666667,1.54,8.0,9.0,8.0
classification,ptest_mc,ptest_mc__307d6fc3284c28e2,200,8,0.735,0.14325000000000002,0.2324188311688312,0.75,0.89,0.8313462215781294,2.47,9.0,8.0,9.0
classification,cit,cit__bc8d0ddbb26c15b5,200,8,0.67,0.13050000000000003,0.21169913419913422,0.68,0.72,0.7563188405797102,3.295,10.0,10.0,11.0
classification,cif,cif__4ee6725d43ec8e5a,200,8,0.65,0.12100000000000001,0.19807900432900433,0.64,0.795,0.7615700531904146,3.085,11.0,11.5,10.0
classification,pi,pi__6e89acc5e72da5a8,200,8,0.6275,0.11350000000000002,0.18660173160173163,0.64,0.74,0.7340599507729714,9.39,12.0,11.5,12.0
classification,r_cforest,r_cforest__37be32340835a93b,200,8,0.6225,0.11225000000000002,0.18488095238095237,0.62,0.745,0.7212265334486143,19.14,13.0,13.0,13.0
classification,cpi,cpi__6e89acc5e72da5a8,200,8,0.49625,0.09375000000000001,0.15294372294372294,0.495,0.58,0.6131641685420764,9.49,14.0,14.0,14.0
classification,r_ctree,r_ctree__b6e09ceb0eb26367,200,8,0.03125,0.0045000000000000005,0.007765151515151516,0.035,0.055,0.1278353199708158,35.805,15.0,15.0,15.0
regression,boruta,boruta__7f986516a1727870,200,8,0.8725,0.15675000000000003,0.2580140692640693,0.88,0.98,0.93625,1.145,1.0,1.0,4.0
regression,ptest_dc,ptest_dc__307d6fc3284c28e2,200,8,0.87125,0.168,0.27283008658008656,0.875,1.0,0.9375,1.125,2.0,5.5,2.0
regression,ptest_rdc,ptest_rdc__307d6fc3284c28e2,200,8,0.87,0.16775,0.27241341991341994,0.875,1.0,0.9375,1.125,3.0,5.5,2.0
regression,et,et__f09eb85fc7f75870,200,8,0.8625,0.16625000000000004,0.26991341991341994,0.875,0.93,0.925,1.205,4.0,5.5,5.0
regression,rf,rf__aed17443e3db937d,200,8,0.86,0.16575000000000004,0.2690800865800866,0.875,0.875,0.9064166666666666,1.375,5.0,5.5,8.0
regression,lgbm,lgbm__71ba9ba402678146,200,8,0.8575,0.16525,0.26824675324675323,0.875,0.875,0.9059999999999999,1.38,6.0,5.5,9.0
regression,cat,cat__024a0842d4337711,200,8,0.8525,0.16425,0.2665800865800866,0.875,0.875,0.9075,1.36,7.0,5.5,7.0
regression,xgb,xgb__1c62fadfc5e2988f,200,8,0.85,0.16375000000000003,0.26574675324675323,0.875,0.875,0.90425,1.415,8.0,5.5,10.0
regression,ptest_pc,ptest_pc__307d6fc3284c28e2,200,8,0.82875,0.16150000000000003,0.26169372294372295,0.835,0.98,0.9141666666666667,1.185,9.0,10.0,6.0
regression,pi,pi__6e89acc5e72da5a8,200,8,0.81875,0.15975,0.2587391774891775,0.83,0.84,0.873361111111111,1.56,10.0,11.0,13.0
regression,cpi,cpi__6e89acc5e72da5a8,200,8,0.8175,0.15950000000000003,0.25840367965367966,0.825,0.845,0.8759262820512821,1.515,11.0,12.0,12.0
regression,cif,cif__f996d20e25e412cc,200,8,0.81625,0.16025000000000003,0.2594209956709957,0.81,0.945,0.8935,1.275,12.0,13.0,11.0
regression,rfe,rfe__99914b932bd37a50,200,8,0.81,0.14350000000000002,0.23783008658008659,0.875,1.0,0.9375,1.125,13.0,5.5,2.0
regression,cit,cit__2cd925b5323e9208,200,8,0.7825,0.15650000000000003,0.25271645021645023,0.75,0.88,0.8391249999999999,1.625,14.0,14.0,14.0
regression,r_cforest,r_cforest__37be32340835a93b,200,8,0.6475,0.11625000000000002,0.19161796536796538,0.645,0.775,0.7444010826116036,12.37,15.0,15.0,15.0
regression,r_ctree,r_ctree__b6e09ceb0eb26367,200,8,0.03125,0.005,0.008522727272727272,0.025,0.075,0.16319349206797842,14.23,16.0,16.0,16.0
