task,method_base,method_id,top1_hit_rate,top1_ir_hit_rate,any_hit_at_2_rate,precision@1,precision@2,precision@5,precision@10,recall@1,recall@2,f1@1,f1@2,mean_reciprocal_rank_true,mean_reciprocal_rank_ir,mean_first_true_rank,mean_first_ir_rank,top1_rank_position,mrr_rank_position
classification,lgbm,lgbm__71ba9ba402678146,0.86,0.985,0.895,0.86,0.805,0.77,0.599,0.10950000000000001,0.203,0.19196969696969698,0.31833333333333336,0.9059999999999999,0.9925,1.325,1.015,1.0,2.0
classification,xgb,xgb__1c62fadfc5e2988f,0.85,0.96,0.925,0.85,0.82,0.78,0.603,0.10800000000000001,0.20600000000000002,0.18939393939393942,0.32333333333333336,0.9080833333333334,0.97875,1.28,1.05,2.0,1.0
classification,cat,cat__024a0842d4337711,0.845,0.97,0.87,0.845,0.765,0.755,0.5985,0.1065,0.1925,0.18696969696969698,0.3020238095238096,0.8908333333333333,0.9841666666666667,1.405,1.035,3.0,6.0
classification,rfe,rfe__99914b932bd37a50,0.84,0.965,0.865,0.84,0.7625,0.7340000000000001,0.6535,0.10850000000000001,0.188,0.18984848484848485,0.2964285714285715,0.8965476190476189,0.9798809523809524,1.315,1.065,4.0,3.0
classification,et,et__f5580a1865f967c8,0.82,0.935,0.92,0.82,0.7675,0.71,0.6305,0.10450000000000001,0.1905,0.1831818181818182,0.2998809523809524,0.895,0.96375,1.285,1.1,5.0,4.0
classification,ptest_rdc,ptest_rdc__307d6fc3284c28e2,0.8,0.91,0.965,0.8,0.76,0.653,0.5435,0.0995,0.18900000000000003,0.175,0.2973809523809524,0.8918055555555555,0.9468055555555556,1.285,1.175,6.0,5.0
classification,rf,rf__27caa3a0a3b84fd9,0.79,0.88,0.91,0.79,0.75,0.698,0.6185,0.0975,0.18350000000000002,0.1716666666666667,0.2898809523809524,0.8743958719851577,0.9260625386518244,1.625,1.495,7.0,7.0
classification,ptest_mc,ptest_mc__307d6fc3284c28e2,0.75,0.875,0.89,0.75,0.72,0.607,0.52,0.1,0.18650000000000003,0.17424242424242425,0.29059523809523813,0.8313462215781294,0.8938462215781294,2.47,2.345,8.0,9.0
classification,boruta,boruta__7f986516a1727870,0.735,0.86,0.86,0.735,0.7525,0.735,0.608,0.08800000000000001,0.18100000000000002,0.15560606060606064,0.2871428571428572,0.8329166666666667,0.9216666666666667,1.54,1.205,9.0,8.0
classification,cit,cit__bc8d0ddbb26c15b5,0.68,0.805,0.72,0.68,0.66,0.557,0.363,0.09,0.171,0.15696969696969698,0.26642857142857146,0.7563188405797102,0.8477355072463769,3.295,2.91,10.0,11.0
classification,cif,cif__4ee6725d43ec8e5a,0.64,0.755,0.795,0.64,0.66,0.639,0.5435,0.0795,0.1625,0.13984848484848486,0.2563095238095238,0.7615700531904146,0.8315700531904145,3.085,2.89,11.5,10.0
classification,pi,pi__6e89acc5e72da5a8,0.64,0.76,0.74,0.64,0.615,0.5680000000000001,0.40299999999999997,0.077,0.15,0.13606060606060608,0.23714285714285718,0.7340599507729714,0.8194766174396381,9.39,9.08,11.5,12.0
classification,r_cforest,r_cforest__37be32340835a93b,0.62,0.725,0.745,0.62,0.625,0.58,0.491,0.0745,0.15,0.13166666666666668,0.23809523809523814,0.7212265334486143,0.786643200115281,19.14,18.95,13.0,13.0
classification,cpi,cpi__6e89acc5e72da5a8,0.495,0.595,0.58,0.495,0.4975,0.46,0.313,0.0625,0.125,0.10969696969696971,0.1961904761904762,0.6131641685420764,0.6815391685420765,9.49,9.215,14.0,14.0
classification,r_ctree,r_ctree__b6e09ceb0eb26367,0.035,0.155,0.055,0.035,0.0275,0.034,0.04650000000000001,0.0035000000000000005,0.0055000000000000005,0.006363636363636364,0.009166666666666667,0.1278353199708158,0.2369207255782802,35.805,34.64,15.0,15.0
regression,boruta,boruta__7f986516a1727870,0.88,0.88,0.98,0.88,0.865,0.792,0.5975,0.10400000000000001,0.20950000000000002,0.18424242424242426,0.3317857142857143,0.93625,0.93625,1.145,1.145,1.0,4.0
regression,ptest_dc,ptest_dc__307d6fc3284c28e2,0.875,1.0,1.0,0.875,0.8675,0.773,0.6145,0.1125,0.2235,0.196969696969697,0.3486904761904762,0.9375,1.0,1.125,1.0,5.5,2.0
regression,ptest_rdc,ptest_rdc__307d6fc3284c28e2,0.875,1.0,1.0,0.875,0.865,0.762,0.607,0.1125,0.223,0.196969696969697,0.3478571428571429,0.9375,1.0,1.125,1.0,5.5,2.0
regression,rfe,rfe__99914b932bd37a50,0.875,1.0,1.0,0.875,0.745,0.581,0.55,0.1125,0.1745,0.196969696969697,0.27869047619047627,0.9375,1.0,1.125,1.0,5.5,2.0
regression,et,et__f09eb85fc7f75870,0.875,1.0,0.93,0.875,0.85,0.835,0.626,0.1125,0.22,0.196969696969697,0.3428571428571429,0.925,1.0,1.205,1.0,5.5,5.0
regression,cat,cat__024a0842d4337711,0.875,1.0,0.875,0.875,0.83,0.8290000000000001,0.616,0.1125,0.21600000000000003,0.196969696969697,0.3361904761904762,0.9075,1.0,1.36,1.0,5.5,7.0
regression,rf,rf__aed17443e3db937d,0.875,1.0,0.875,0.875,0.845,0.8240000000000001,0.62,0.1125,0.21900000000000003,0.196969696969697,0.3411904761904762,0.9064166666666666,1.0,1.375,1.0,5.5,8.0
regression,lgbm,lgbm__71ba9ba402678146,0.875,1.0,0.875,0.875,0.84,0.84,0.6275,0.1125,0.218,0.196969696969697,0.33952380952380956,0.9059999999999999,1.0,1.38,1.0,5.5,9.0
regression,xgb,xgb__1c62fadfc5e2988f,0.875,1.0,0.875,0.875,0.825,0.7929999999999999,0.599,0.1125,0.215,0.196969696969697,0.33452380952380956,0.90425,1.0,1.415,1.0,5.5,10.0
regression,ptest_pc,ptest_pc__307d6fc3284c28e2,0.835,0.96,0.98,0.835,0.8225,0.765,0.61,0.10850000000000001,0.21450000000000002,0.18969696969696972,0.3336904761904762,0.9141666666666667,0.9766666666666667,1.185,1.06,10.0,6.0
regression,pi,pi__6e89acc5e72da5a8,0.83,0.955,0.84,0.83,0.8075,0.779,0.5655,0.10800000000000001,0.21150000000000002,0.18878787878787878,0.3286904761904762,0.873361111111111,0.9672777777777778,1.56,1.175,11.0,13.0
regression,cpi,cpi__6e89acc5e72da5a8,0.825,0.95,0.845,0.825,0.81,0.7240000000000001,0.519,0.1075,0.21150000000000002,0.1878787878787879,0.32892857142857146,0.8759262820512821,0.9655929487179488,1.515,1.18,12.0,12.0
regression,cif,cif__f996d20e25e412cc,0.81,0.935,0.945,0.81,0.8225,0.764,0.6035,0.10600000000000001,0.21450000000000002,0.18515151515151515,0.3336904761904762,0.8935,0.9618333333333333,1.275,1.11,13.0,11.0
regression,cit,cit__2cd925b5323e9208,0.75,0.875,0.88,0.75,0.815,0.639,0.451,0.1,0.213,0.17424242424242425,0.3311904761904762,0.8391249999999999,0.9375,1.625,1.125,14.0,14.0
regression,r_cforest,r_cforest__37be32340835a93b,0.645,0.77,0.775,0.645,0.65,0.638,0.5295000000000001,0.077,0.1555,0.1362121212121212,0.24702380952380956,0.7444010826116036,0.8169010826116037,12.37,12.185,15.0,15.0
regression,r_ctree,r_ctree__b6e09ceb0eb26367,0.025,0.025,0.075,0.025,0.0375,0.067,0.067,0.0025,0.0075,0.004545454545454546,0.012500000000000002,0.16319349206797842,0.16800896825845463,14.23,14.13,16.0,16.0
